Number,Photo,Artist,Title,Year,Location,Copyright
194,Picture,Bogdan Scutaru & Jamie Linley,(Unknown Title),2020,Denmark,Bogdan Scutaru
197,Picture,Eduardo Kobra,Mural of the United Nations,2022,United States,Eduardo Kobra
199,Picture,Dan Manrique Arias,"Hands in Solidarity, Hands of Freedom",1997,United States,Photo: Terence Faircloth (CC BY-SA 4.0)
200,Picture,ABU MALIK AL-SHAMI,Hope: A message of hope on a mountain of skulls and on the wall of a destroyed house,2014,Syria,ABU MALIK AL-SHAMI
201,Picture,DRAW,(untitled) @ Blue Wall Faces,2013,Portugal,Photo: Patrícia Arriaga
202,Picture,Mabel Vicentef,Ballena Cachalote (Sperm Whale),2018,Spain,Mabel Vicentef
203,Picture,Alexandre Keto,(Unknown Title),2019,United States,Alexandre Keto
204,Picture,Bandit,Dress Me Up for Battle,2022,United States,Photo: Photographyartl (Laura)
207,Picture,Marthalicia Matarrita (MC2),THE CARING & THE NEEDING,2018?,United States,Marthalicia Matarrita (MC2)
209,Picture,Philippe Hérard,(Unknown Title),2016,France,https://www.phherard.com/
210,Picture,OU (Erik Burke),Education Is Your Shield and Trophy,2016,United States,OU (Erik Burke)
212,Picture,Philippe Hérard,(Unknown Title),2019,France,Philippe Hérard
214,Picture,NARK,"Apenas o Coração Pode Bater (""Only the Heart Can Beat"")",2017,Portugal,Photo by Patrícia Arriaga
219,Picture,Philippe Hérard,Jour 36,2020,Italy,Philippe Hérard
220,Picture,Mabel Vicentef,Redwoods,2019,United States,Mabel Vicentef
224,Picture,Krimsone & Scott Nagy ,Not A Crime Newtown,2015,Australia,Krimsone & Scott Nagy 
232,Picture,Artez,Bookworm,2017,Italy,Artez
233,Picture,Michael Aaron Williams ,(Street art campaign about the homeless),2011,United Kingdom,Michael Aaron Williams 
234,Picture,Mabel Vicentef,Lucilia in Albania,2019,Albania,Mabel Vicentef
235,Picture,Nark,(Unknown Title),2021,Portugal,Photo by Patrícia Arriaga
242,Picture,Adry Del Rocio & GhCarlos Alberto,«Vuelo Sororo» / «Flight of Sorority»,2021,Mexico,Adry Del Rocio
243,Picture,Eduardo Kobra,Paz entre as Nações / Peace Among Nations /,2021,Norway,Kobra
245,Picture,Alice Pasquini and Uno,Gender Equality Mural,2021,Italy,Alice Pasquini and Uno
248,Picture,"Aravani Art Project - Lead Artists: Chandri N, Purushi, Jyothi, Poornima Sukumar, Sadhna Prasad",Trans Lives Matter,2019,India,https://aravaniartproject.com/
249,Picture,Carla McRae,Gender equity,2018,Australia,Carla McRae
250,Picture,Emmanuel Jarus,Reaching,2020,United States,Emmanuel Jarus
251,Picture,Moh Awudu,(Unknown Title),2022,United States,Moh Awudu
256,Picture,Lili Cuca & SEPC + Artivista,(Unknown Title),2022,Colombia,Lili Cuca & SEPC
257,Picture,Moxaico,Confinamiento / Lockdown ,2020,Spain,Moxaico
260,Picture,Alice Pasquini,Generation Equality,2022,United Kingdom,"Alice Pasquini, https://www.alicepasquini.com/alice-portfolio/outdoor"
263,Picture,Emmanuel Jarus,(Unknown Title),2017,Canada,Emmanuel Jarus
264,Picture,Emmanuel Jarus,(Unknown Title),2017,Malaysia,Emmanuel Jarus
265,Picture,Dante,Acipenser Sturio,2022,Georgia,Photo by Nick Paniashvili
273,Picture,Levalet,(Unknown Title),(Unknown),France,Taken from Sidewalls
274,Picture,Moxaico,(Unknown Title),2021,Spain,Moxaico
277,Picture,Juanjo Surace,The Trip,2019,Spain,Juanjo Surace
278,Picture,Juanjo Surace,Exercise for the mind,2018,Spain,Juanjo Surace
289,Picture,Kani Alavi,(Unknown Title),2008?,Germany,Photo by Patrícia Arriaga
290,Picture,Bordalo II,Bee,2016,Portugal,Photo by Patrícia Arriaga
291,Picture,Ketam (Mário Santos) ,Sesimbra é Peixe e Arte na Rua,2017,Portugal,Photo by Patrícia Arriaga
292,Picture,ARCY,(Unknown Title),2019,Greece,ARCY
299,Picture,Tamara Alves,You Killed me first,2019,Portugal,Tamara Alves
300,Picture,Philippe Hérard,(Unknown Title),2014,France,Philippe Hérard
301,Picture,J. Samina,2700,2019,Portugal,J. Samina
303,Picture,Etam Cru ,Coffee Break,2014,Italy,Etam Cru 
305,Picture,Alice Pasquini,Sopra le righe,2019,Italy,Jessica Stewart
306,Picture,Alice Pasquini & Uno,San Pietro Magisano (CZ),2022,Italy,Alice Pasquini
308,Picture,Alice Pasquini,I’m not sleeping,2021,France,Alice Pasquini
309,Picture,Eduardo Kobra,Ciência e Fé / Science and Faith,2022,Brazil,Kobra
310,Picture,Eduardo Kobra,(Unknown Title),2021,Brazil,Kobra
312,Picture,ETAM Boier Chylo Kome Pain Pener Roem Tone,10,2009,Poland,Etam Cru 
313,Picture,Eduardo Kobra,The Braves of 9/11. Bravos do 11 de Setembro 2001,2018,United States,Eduardo Kobra
314,Picture,Eduardo Kobra,Ellis Island ,2018,United States,Eduardo Kobra
315,Picture,Eduardo Kobra,Tolerância,2028,United States,Eduardo Kobra
316,Picture,Philippe Hérard,(Unknown Title),2019,France,Philippe Hérard
321,Picture,C'Marie & Egrito,Together,2021,Portugal,Galeria de Arte Urbana
322,Picture,Philippe Hérard,The ArtFabric,2017,Germany,Philippe Hérard
323,Picture,Philippe Hérard,Dans l'ordre des choses,(Unknown),France,Philippe Hérard
324,Picture,Robô,World In Our Hands,(Unknown),Portugal,Robô
325,Picture,Robô,A nossa casinha,2019?,Portugal,Robô
326,Picture,Diana Zyan,De la ausencia y de tí,2022,Mexico,Diana Zyan
330,Picture,Philippe Hérard,(Unknown Title),(Unknown date),France,Philippe Hérard
332,Picture,Nark,Disparidade dos sonhos,2020,Portugal,Nark
333,Picture,Nark,Sonhar fora da caixa,2018,Portugal,Nark
334,Picture,Mr. Rosh Panonsky,Za naše heroje,2021,Serbia,Mr. Rosh Panonsky
335,Picture,Adry Del Rocio & Carlos Alberto GH,Nuestra fuerza colectiva no tiene fronteras,2022,United States,Adry Del Rocio & Carlos Alberto GH
338,Picture,Theic Licuado (Camilo Nunez),Todos somos um,(Unknown date),Portugal,Theic Licuado (Camilo Nunez)
343,Picture,Tamara Alves,DISQUIET HEART (Dias do Desassossego),2017,Portugal,Tamara Alves
344,Picture,Theic Licuado (Camilo Nunez),“La cosecha”,2019,Spain,Theic Licuado (Camilo Nunez)
345,Picture,Tamara Alves,Wild Orphan,2014,Portugal,WOOL – Pedro Seixo Rodrigues
347,Picture,Eduardo Kobra,Raoni,2017,Portugal,Eduardo Kobra
349,Picture,Theic Licuado (Camilo Nunez),La resistencia,2018,Uruguay,Theic Licuado (Camilo Nunez)
351,Picture,SLIM SAFONT,THE PUNISHMENT ,2022,Scotland,SLIM SAFONT
352,Picture,Mabel Vicentef,(Unknown Title),2017,Argentina,Mabel Vicentef
366,Picture,Tinho,unknown,2011,Brazil,Hypeness
368,Picture,Robô,Permanência,2018,Portugal,Robô
371,Picture,Norm Abartig,"""Freedom, where are you?""",2020,Portugal,Photo by Patrícia Arriaga
372,Picture,"Hygienic Dress League (HDL) Corporation, visual artists Steve and Dorota Coy ",THE EAGLE HAS LANDED PART II,2015,Portugal,Photo by Patrícia Arriaga
373,Picture,Tinta Crua,(Unknown Title; Project: Faces on the Blue Wall),2013,Portugal,Photo by Patrícia Arriaga
374,Picture,(Unknown artist),(Unknown Title),(Unknown date),Portugal,Photo by Patrícia Arriaga
375,Picture,Pablo Machioli,Paz no Mundo / (Dove of Peace),2016,Portugal,Photo by Patrícia Arriaga
376,Picture,"Vespa, Nomem, Utopia",(Unknown Title),2014,Portugal,Photo by Patrícia Arriaga
377,Picture,Styler,(Unknown Title),2017,Portugal,Photo by Patrícia Arriaga
378,Picture,Adres,(Unknown Title),2019,Portugal,Photo by Patrícia Arriaga
379,Picture,Oze arv,Tenho em mim todos os sonhos do mundo,2016,Portugal,Photo by Patrícia Arriaga
380,Picture,Mar (Gonçalo MAR),Our safe place//Porto seguro,2014,Portugal,Photo by Patrícia Arriaga
381,Picture,Adry Del Rocio,Renacer Sostenible,2023,Mexico,Adry Del Rocio
385,Picture,Juan Manuel Carmona & Simon Malvaez,“Queeroes”,2021,United States,Juan Manuel Carmona & Simon Malvaez
387,Picture,ALE POIRÉ,(Unknown title),2022,Mexico,ALE POIRÉ
388,Picture,ALE POIRÉ + Janín + Mari Mariel + YUDA,AUSENCIA PRESENTE,2022,Mexico,ALE POIRÉ
389,Picture,ALE POIRÉ,“Inquebrantables”,2022,Mexico,ALE POIRÉ
390,Picture,ALE POIRÉ + Janín,Contigo en la Memoria,2022,Mexico,ALE POIRÉ
391,Picture,ALE POIRÉ,untitled,2022,Mexico,ALE POIRÉ
392,Picture,ALE POIRÉ,(DIVERSIDAD),2022,United Kingdom,ALE POIRÉ
393,Picture,ALE POIRÉ,"(Unknown title, painted for the 'Festival Muro por Muro', tribute to doctors/nurses on the front lines of the COVID-19 pandemic)",2020,Mexico,ALE POIRÉ
394,Picture,Iljin,"(unknown title; Project ""Street Wars"") ",2016,Poland,Iljin
395,Picture,Carla McRae,Murals for Boronia Library,2022,Australia,Ian Neo
396,Picture,Iljin,Lucretia’s Women; ’s Rights,2018,United States,Iljin
400,Picture,Priscila De Carvalho,A house is not a home,2013,Spain,Priscila De Carvalho
401,Picture,Dante,Sudan,2018,Georgia,Photo by Natia Gelantia
402,Picture,Dante,Polar Bear,2019,Georgia,Photo by Natia Gelantia
403,Picture,Leon Keer,Misfit,2022,France,Leon Keer
404,Picture,Leon Keer (assist by Massina @marijespelbos),Re-collection,2021,France,Photo @andreaberlesephotography
405,Picture,Sabotaje Al Montaje,Customs and Traditions Mural (for the Vilaflor Chasna Tenerife City Council),2023,Spain,Sabotaje Al Montaje
406,Picture,Sabotaje Al Montaje,(Unkown Title),2022,Spain,Sabotaje Al Montaje
407,Picture,Sabotaje Al Montaje,Homenaje a las Mujeres Rurales de Barlovento La Palma,2022,Spain,Sabotaje Al Montaje
408,Picture,Sabotaje Al Montaje,(Unkown Title),2022,Spain,Sabotaje Al Montaje
409,Picture,Sabotaje Al Montaje,(TITANES DE LA AGRICULTURA),2022,Spain,Sabotaje Al Montaje
410,Picture,Sabotaje Al Montaje,(Vino de Gran Canaria),2021,Spain,Sabotaje Al Montaje
414,Picture,Natalia Rak,WHEN ARROWS ARE NOT ENOUGH,2016,Russia,With the last photo you need to ask the organiser of the mural PIK in Białystok pik@pikpodlaskie.pl.
415,Picture,Natalia Rak,WAITING FOR TOMMOROW,2013,Poland,Natalia Rak
416,Picture,Natalia Rak,A.D 2117,2017,Luxembourg,Natalia Rak
417,Picture,Levalet,La Crise,2021,France,Levalet
418,Picture,Levalet,Climatoscepticisme,2019,France,Levalet
419,Picture,Levalet,Noir sur blanc,2019,France,Levalet
420,Picture,Levalet,Ressources humaines,2016,France,Levalet
421,Picture,Levalet,Celle de drop,2015,France,Levalet
422,Picture,Moh Awudu,(Unknown Title),2021,Ghana,Moh Awudu
423,Picture,Moh Awudu,Stop stigmatization,2020,Ghana,Moh Awudu
424,Picture,Moh Awudu,#togetherwearestronger,2020,Ghana,"Moh Awudu, Photo by Ayaa Pixels (https://www.instagram.com/ayaa_pixels)"
425,Picture,Moh Awudu,(Say no to racism),2020,Ghana,Moh Awudu
426,Picture,Moh Awudu,We are in this together,2020,Ghana,Moh Awudu
427,Picture,Moh Awudu,Child protection project,2020,Ghana,Moh Awudu
429,Picture,Moh Awudu,It takes a natural disaster to reveal a social disaster.. Accra will rise again -Accra flood 2015,2015,Ghana,Moh Awudu
431,Picture,Moh Awudu and Jake Holmes,P O S S I B L E,2020,Australia,Moh Awudu and Jake Holmes
432,Picture,Krimsone and Scott Nagy ,"Reduce, Reuse, Recycle",2020,Australia,Krimsone and Scott Nagy 
433,Picture,Krimsone,Bedtime story,2022,Australia,Krimsone
434,Picture,Krimsone and Scott Nagy ,untitled,2017,Australia,Krimsone and Scott Nagy 
435,Picture,Krimsone and Scott Nagy ,Day Dreamer,2021,Australia,Krimsone and Scott Nagy 
436,Picture,Richt (Daniel Sparkes),"To Do: 10. Fight Inequality (""Part of a global awareness campaign for the UN's SDGs, titled 'The World's To-Do List')",2022,United Kingdom,Richt (Daniel Sparkes)
437,Picture,Richt (Daniel Sparkes),Barnstaple mural and workshop series,2022,United Kingdom,Photo by Rob Tibbles
439,Picture,Mrfjodor,CONSUMERISM CONSUMES US - Il consumismo ci consuma,2021,Italy,Mrfijodor ©
440,Picture,Mrfjodor,Plastic Rain,2019,Italy,"Photo by CORN 79, CORN 79
https://www.instagram.com/corn_79/; 
Mrfijofor ©"
441,Picture,Mrfjodor,Connecting Nature,2022,Italy,Mrfijodor ©
442,Picture,Mrfjodor,It's heavy!,2021,Italy,Mrfijodor ©
443,Picture,Mrfjodor,Bip Trip Chic,2021,Italy,Mrfijodor ©
444,Picture,Mrfjodor,Green Up,2020,Italy,Mrfijodor ©
445,Picture,Mrfjodor,Gattigre in equilibrio precario,2020,Italy,Mrfijodor ©
446,Picture,Mrfjodor,A factory and a bird,2020,Italy,Mrfijodor ©
447,Picture,Mrfjodor,Tartisola,2019,Italy,Mrfijodor ©
448,Picture,Mrfjodor,(Unkown Title),2017,Italy,Mrfijodor ©
449,Picture,Mrfjodor and Corn79,(Environmental sustainability),2020,Italy,Mrfijodor ©
450,Picture,Mrfjodor,Re-enact,2021,Italy,Mrfijodor ©
451,Picture,Mrfjodor,Atlante,2020,Italy,Mrfijodor ©
452,Picture,Elle & Pitr,Le Naufrage de Bienvenu/The Shipwreck of Bienvenu,2018,France,ELLA & PITR
453,Picture,Elle & Pitr,La tête dans le seau.,2015,France,ELLA & PITR
454,Picture,Elle & Pitr,Working class,2014,France,ELLA & PITR
455,Picture,Janín (Janín Garcin),Unión,2021,Mexico,Janín (Janín Garcin)
456,Picture,Janín (Janín Garcin),Unidas ,2021,Mexico,Photo by @fabzphotoslp (https://www.instagram.com/fabzphotoslp/)
457,Picture,Janín (Janín Garcin),Llamarada - Juntas somos más fuertes ,2021,Mexico,Janín (Janín Garcin)
458,Picture,Janín (Janín Garcin),Resistir para existir ,2020,Mexico,Janín (Janín Garcin)
459,Picture,Janín (Janín Garcin),Las querendonas,2018,Colombia,Janín (Janín Garcin)
460,Picture,Janín (Janín Garcin),(Unknown Title),2017,Mexico,Janín (Janín Garcin)
461,Picture,Janín (Janín Garcin),¡A florecer!,2016,Mexico,Janín (Janín Garcin)
462,Picture,Lili Cuca,(Unknown Title),2021,Colombia,Lili Cuca
463,Picture,Lili Cuca,Sabor a mi tierra,2022,Panama,Lili Cuca
464,Picture,Lili Cuca,Maria Skłodowska-Curie,2020,Poland,Photo by _@satanasquitian 
465,Picture,Lili Cuca,El libro de los abrazos,2019,Colombia,Lili Cuca
466,Picture,Lili Cuca,DIGNIDAD Y EL DERECHO A VIVIR EN PAZ,2019,Chile,Lili Cuca
467,Picture,Krimsone (Janne Birkner) and Scott Nagy ,Creative Freedom,2020,Egypt,Adamscarfphotography (https://www.instagram.com/adamscarfphotography/)
468,Picture,Rikardo Druškić & Benjamin Čengić,(Unknown Title),2019,Bosnia and Herzegovina,Rikardo Druškić & Benjamin Čengić
469,Picture,Rikardo Druškić & Vedran Poricanin,Awakening Solidarity,2021,Bosnia and Herzegovina,Rikardo Druškić & Vedran Poricanin
470,Picture,Rikardo Druškić & Vedran Poricanin,Awakening Solidarity,(Unknown date),Bosnia and Herzegovina,Rikardo Druškić & Vedran Poricanin
471,Picture,"Juan Manuel Carmona, Simon Malvaez, Serge Gay Jr, Elliott C Nathan & Christopher Mcutcheon","“Showtime, a love letter”",2022,United States,"Juan Manuel Carmona, Simon Malvaez, Serge Gay Jr, Elliott C Nathan & Christopher Mcutcheon"
472,Picture,Vedran Poricanin (or Vedran Neba),"Zajedno Cvjetamo / ""Together We Bloom""",2022,Bosnia and Herzegovina,Vedran Poricanin (or Vedran Neba)
473,Picture,Vedran Poricanin,"“Dijete slobode” / ""Child of Freedom""",2021,Bosnia and Herzegovina,Vedran Poricanin
474,Picture,Juan Manuel Carmona,(Unknown Title),2017,Portugal,Juan Manuel Carmona
475,Picture,Nark,Dream Big,2017,Portugal,Nark
476,Picture,Archie Oclos (coll with Auggie Fontanilla),BAKWIT ,2019,Philippines,Photo by rgvizuals https://www.instagram.com/rgvizuals/
477,Picture,Nark,(Unknown Title),2021,Portugal,Nark
478,Picture,Archie Oclos,"Para Sa Iyo Apo/ ""For You Grandson""",2018,Philippines,Archie Oclos
479,Picture,Archie Oclos,Para Saan Ang Tapang Mo? / What is your courage for?,2018,Philippines,Archie Oclos
480,Picture,Nark,SMAS,2020,Portugal,Nark
481,Picture,Nark,(Unknown Title),2017,Portugal,Nark
482,Picture,Archie Oclos,"Rice is not a bullet! ""(Rice, Not Bullet! ) (..karugtong na pyesa)",2017,Philippines,Archie Oclos
483,Picture,Dadospuntocero (Da2),Futuro cogido con pinzas,2022,Spain,Dadospuntocero
484,Picture,Dadospuntocero (Da2),"Begoña, la cigoña",2022,Italy,Dadospuntocero
485,Picture,Dadospuntocero (Da2),La Naranja inmigrante,2022,Spain,Dadospuntocero
486,Picture,Dadospuntocero (Da2),Ponfeblino,2021,Spain,Dadospuntocero
487,Picture,Dadospuntocero (Da2),Tetra- pez,2021,Spain,Dadospuntocero
488,Picture,Dadospuntocero (Da2),Brocheta,2021,Spain,Dadospuntocero
489,Picture,Dadospuntocero (Da2),Adri Creciclando,2020,Spain,Dadospuntocero
490,Picture,Dadospuntocero (Da2),Chicharrastico,2019,Spain,Dadospuntocero
491,Picture,Dadospuntocero (Da2),Caballastica,2019,Russia,Dadospuntocero
492,Picture,Tamara Alves,I Was Here,2017,Portugal,Tamara Alves
493,Picture,Archie Oclos,"Pula ang Kulay ng Saya / ""The Color of Joy is Red""",2017,Philippines,Archie Oclos
494,Picture,Abu Malik Al-Shami,Game over? (When the people burned tires in order to prevent warplanes from bombing),2016,Syria,Abu Malik Al-Shami
495,Picture,Abu Malik Al-Shami,"Learn to love first (A little girl teaches a soldier an important lesson, how to use his heart before he uses his weapon)",2014,Syria,Abu Malik Al-Shami
496,Picture,Abu Malik Al-Shami,Syria is lost (A painting adapted from Banksy's work),2021,Syria,Abu Malik Al-Shami
497,Picture,Abu Malik Al-Shami,International Children's Day (Five drawings that show the suffering of Syrian children),2021,Syria,Abu Malik Al-Shami
498,Picture,Abu Malik Al-Shami,Civil defense teams rescued civilians from under the rubble ,2021,Syria,Abu Malik Al-Shami
499,Picture,Abu Malik Al-Shami,Elections for Bashar al-Assad in 2021 (participating in the elections means participating in the bombing),2021,Syria,Abu Malik Al-Shami
503,Picture,LIQEN,EL DEVENIR FLOR-ANIMAL,2014,Italy,https://www.liqen.org/wp-content/uploads/2021/01/dsc06197b.jpg
504,Picture,LIQEN,La ceguera,2016,Germany,LIQEN
511,Picture,Dadospuntocero (Da2),Truchastico,2018,Spain,Dadospuntocero (Da2)
512,Picture,Dadospuntocero (Da2),Pulpóstico,2018,Spain,Dadospuntocero (Da2)
513,Picture,Dadospuntocero (Da2),El paso del tiempo,2016,Spain,Dadospuntocero (Da2)
514,Picture,"Dante (Assistants: Sandro Tsitskishvili, George Kalandarishvili, Alexander Kvantaliani, Acho Khutsishvili, Lizi Tsitskishvili, Tornike Melikidze)",The Jump,2021,Georgia,Photo by Data Inasaridze
515,Picture,Dante,Make it Loud,2019,Georgia,Photo by Data Inasaridze
516,Picture,Dante (Assistant: Acho Khutsishvili),Escape,2020,Georgia,Photo by Iko Namoradze
517,Picture,Moxaico,Práctica deporte en igualdad,2023,Spain,Moxaico
518,Picture,Moxaico,LA TRILLA,2022,Spain,Moxaico
519,Picture,Moxaico,Manos que logran Vida,2021,Spain,Moxaico
520,Picture,Crystal Vielula,Llams in Love,2009,United States,Crystal Vielula
521,Picture,Crystal Vielula,Romance,2013,United States,Crystal Vielula
522,Picture,Crystal Vielula,Thank you,2020,United States,Crystal Vielula
523,Picture,Levalet,Force ouvrière,2021,France,Levalet
524,Picture,Levalet,Team building,2021,France,Levalet
525,Picture,Levalet,Freedom,2019,Belgium,Levalet
526,Picture,Levalet,Biodiversité,2018,France,Levalet
527,Picture,Levalet,Esperando la jubilaciòn ,2016,Spain,Levalet
528,Picture,Marthalicia Matarrita,Past Down - INHERITANCE,2016,United States,Marthalicia Matarrita
529,Picture,Marthalicia Matarrita,We are from Water and from £arth ,2017,United States,Marthalicia Matarrita
530,Picture,Marthalicia Matarrita,"Dizzy Gillespie "" Art is not a crime""",2017,United States,Marthalicia Matarrita
531,Picture,Marthalicia Matarrita,Rhino and child,2018,United States,Marthalicia Matarrita
532,Picture,Moxaico,Almócita contra la violencia de género,2018,Spain,Moxaico
