Number,Photo,Artist,Artwork Title,Year,Location (Country),"Tentative Description (Note: each description was not provided by the artists, but was generated using artificial intelligence with human supervision, and is still open to different interpretations).",Website link,Author Photo / Copyrights ,,,,,,,,,,,,,,,,,,,,,,,,,,Aware_SD
001,Picture,Never Crew,Ordering machine,2016,France,"Two blue whales intertwined, suspended from a large draped fabric beach towel, which is white with bold red stripes. The fabric is hung on an oversized wooden hanger, which is affixed to the top edge of the building. Background in beige.",https://www.instagram.com/p/BHKQqPLA7aO/,Never Crew,,,,,,,,,,,,,,,,,,,,,,,,,,2.79
003,Picture,WOSKerski,(One of your 5 a day),2018,United Kingdom,"Large watermelon slice against a muted blue background. The watermelon has red pulp contrasting with dark black seeds. The seeds are depicted as if they are being ejected out of the watermelon slice. The slice's green rind fades into its bright red interior, with the white layer acting as a transition between the two. The artist name ""Woskerski"" appears in the top right corner. ","https://static.wixstatic.com/media/9f48dd_5419cf7d897d48b2bf89b3f03e346975~mv2.jpg/v1/fill/w_873,h_1084,al_c,q_85,enc_auto/9f48dd_5419cf7d897d48b2bf89b3f03e346975~mv2.jpg",WOSKerski,,,,,,,,,,,,,,,,,,,,,,,,,,2.73
006,Picture,Eduardo Kobra,The World is Burning,(unknown),Brazil,"Polar bear, painted in white and light gray, standing on top of a melting ice cap shaped like a human head, rendered in icy blue. The background is dominated by shades of red, with flames rising from the ground below. The flames are depicted in yellows and oranges, contrasting with the cool tones of the polar bear and ice cap. ",https://static.demilked.com/wp-content/uploads/2015/04/environmental-graffiti-street-art-07.jpg,Eduardo Kobra,,,,,,,,,,,,,,,,,,,,,,,,,,2.49
008,Picture,Eduardo Kobra,Carpas Koi,2021,Brazil,"Underwater scene. At the forefront, a colored koi fish is illustrated with a patchwork of red, yellow, and white scales. Adjacent to the koi, a smaller silver-colored fish. In the middle section, folded paper boat floats atop the water. The underwater background is filled with swirling, dynamic patterns in shades of blue and green. Floating water lilies with yellow centers and round green leaves. (On the artist's website, it's noted that the mural commemorates Japanese immigration to Brazil, starting in 1908. It features three carps, each symbolizing different aspects: one is a traditional Koi, another shaped like origami, and the third resembles the Japanese flag with its coloration. The background includes a reproduction of Claude Monet's ""Water Lilies,"" highlighting the influence of Japanese culture in Brazil. The carp are used to symbolize the resilience and contributions of Japanese immigrants. The mural also portrays a stone skipping on water, representing joy, lightness, and balance, emphasizing the positive impact of immigrants on national culture.)",https://www.eduardokobra.com/uploads/img/projetos/46/projetos_fotos/951177daa98a59771a403bcc62f18a27.jpg,Eduardo Kobra,,,,,,,,,,,,,,,,,,,,,,,,,,2.62
010,Picture,Matthew and Roxanne Ortiz (Artist Name: Wooden Wave),(Unknown Title),2021,United States,"A sustainable coastal habitat. A treehouse-like structure with multiple levels is integrated within the trees. The structure is adorned with various green technologies, including solar panels and green roofs. A few of the levels have platforms or terraces that offer panoramic views of the ocean below. At the uppermost part of the structure is an observation tower with a spiral design. Additionally, hanging gardens or planters and various living spaces are apparent. The backdrop features an ocean meeting a golden-hued sky at the horizon. ",https://images.squarespace-cdn.com/content/v1/54272e39e4b01786136817dc/1461966654025-RKV277YOLDFGX7GIHGY6/Surfjack_mural_side+view+full.jpg?format=1500w,Graffiti Arts | Mural Art & Consulting LLC © 2022,,,,,,,,,,,,,,,,,,,,,,,,,,2.33
011,Picture,Matthew and Roxanne Ortiz (Artist Name: Wooden Wave),Pow! Wow! ,2016,United States,"A large, intertwined tree with various colorful structures, possibly homes or buildings, perched on its branches. There's a blending of the natural world with human-made structures. On the left side of the tree: waves in varying shades of blue, capturing the movementof the ocean.

","https://images.squarespace-cdn.com/content/v1/54272e39e4b01786136817dc/1456050338774-KU4DS8EAIFMPORG4YWWW/image-asset.jpeg?format=1500w
https://woodenwave.tumblr.com/post/140289381709/finished-shot-of-our-pow-wow-hawaii-mural-this",,,,,,,,,,,,,,,,,,,,,,,,,,,3.25
012,Picture,Matthew and Roxanne Ortiz (Artist Name: Wooden Wave),(Sunset),2018,United States,"Blend of nature and architecture. Central to the composition is a large, multifaceted structure that appears to be a combination of a treehouse and a ship. This building is equipped with solar panels. A tree with a swing and a platform extends from the left side. Below, a flowing river or body of water, and the foreground has a variety of plants and flowers in multiple colors. A clear sky with a hint of sunset forms the backdrop.
","http://www.woodenwaveart.com/#/murals/
https://images.squarespace-cdn.com/content/v1/54272e39e4b01786136817dc/1535263836646-R9ZJ90DXD96TKLGUR0LR/Sunset+Final+Mural_Mauka+2.jpg?format=1000w

",,,,,,,,,,,,,,,,,,,,,,,,,,,2.90
013,Picture,Priscila De Carvalho,(Unknown Title),2019,United States,"Urban setting capturing daily life in a city environment. On the left, a traditional brick buildings juxtaposed with a large, more modern building labeled ""METROPOLITAN"" on the right. In the foreground, people are engaged in various activities, from playing soccer to enjoying music and shopping from street vendors. Large flowers and leaves burst forth.","https://images.squarespace-cdn.com/content/v1/5745ddb607eaa0f3c67d7a7a/1615253708375-35BPGCYKKL95HCH0Q15B/mural_01.jpg?format=1500w
http://www.prisciladecarvalho.com/mural/jn02z60qsjvx0nch1mpaoyfxiny60l",,,,,,,,,,,,,,,,,,,,,,,,,,,2.94
015,Picture,"Mar 
(Gonçalo Mar)",(Unknown Title),2022,Portugal,"Underwater scene with marine life. In the left, a large fish with a lantern-like organ used to attract prey. Next, another marine creature strapped with urban and industrial items, including a building and a truck. As we move further right, two fish facing each other, with one exhibiting bold, striking colors, and the other having a more pastel hue. (Note: A mural about the defense of the deep ocean).",,Marina Aguiar,,,,,,,,,,,,,,,,,,,,,,,,,,2.31
033,Picture,Krimsone & Scott Nagy,Hornsby Water Tower,2016,Australia,"Underwater with marine life, with several aquatic species: graceful dolphins, a sea turtle, tropical fish, (including clownfish), stingrays, a sailfish, and a whale with bubbles escaping its blowhole. A coral reef extends along the bottom of the mural, housing various colorful corals, fish, and a starfish. Predominant blue; brighter colors of the marine flora and fauna, such as the yellows, oranges, reds, and greens from the reef and the fish.",http://www.krimsone.com/#/hornsbywatertower/,,,,,,,,,,,,,,,,,,,,,,,,,,,2.50
035,Picture,Leon Keer,Plastic Diet,2019,France,"A trash bin filled with various waste items, ranging from discarded cans with visible brand labels, to crumpled plastic cups, bottle caps, and even a yellow rubber glove. The can's exterior displays a design of wooden planks. Below the trash bin, on the ground, lay more waste items: a crushed can, a bottle cap, and a discarded wrapper or packet. The color palette is dominated by muted tones typical of waste materials—browns, grays, and silvers, with splashes of color from the discarded items like the green bottle cap, the blue label, and the red can. ",https://streetartcities.com/media/0/0385cf0d-c7b3-4065-bd45-d36addb28f10/orig.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,2.92
039,Picture,Blu,(Unknown Title),2010,Portugal,"The mural depicts a large, somber person wearing a golden crown adorned with various symbols and oil company logos, including Shell and BP. The person's face, detailed in grayscale with a serious expression, is shown as they appears to be sucking the resources of the Earth through a straw that extends from the globe they are holding. The globe, filled with water, represents the planet, and the straw symbolizes the exploitation and draining of Earth's resources. To the left, a yellow hand is seen protruding from behind the building, holding a small figure that seems to be bound and manipulated, highlighting the power dynamics between corporations and individuals. The mural uses a palette of gray and black for the figures, with bright yellow for the hand and crown, and green and blue for the Earth. The building's red-bricked windows serve as the backdrop.",cedida por Joaquim Caetano,Joaquim Caetano,,,,,,,,,,,,,,,,,,,,,,,,,,1.58
040,Picture,"Daniela Guerreiro, Nuno Viegas e Élsio Menau",À moda Quarteirense,2020,Portugal,"A net filled with fish and various types of plastic waste, such as bottles, cans, and face masks. The background features shades of blue, suggesting the ocean. The predominant colors: various shades of blue, representing the ocean, along with natural colors for the fish and more artificial colors for the plastic waste.",https://www.sulinformacao.pt/wp-content/uploads/2020/10/murais-quarteira-15-4160x3120-1-scaled.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,2.12
052,Picture,NEVER CREW,Fade,2019,Italy,"A three-dimensional illusion of a crumpled piece of paper, folded into the shape of an airplane. The design on the paper seems to mimic the lines of a topographical map, with contour lines and markings suggesting mountainous terrain. The colors range from earthy browns to light blues. One side of the paper airplane appears to be burning, with the edges curling and darkened as if they are being consumed by flames. This burning effect is subtle. The background is a light, airy blue, which contrasts with the earthy tones of the paper and the detail of the burning.",https://www.instagram.com/p/B2jp-xtI-ZV/ ,Newcrew,,,,,,,,,,,,,,,,,,,,,,,,,,2.70
058,Picture,Dadospuntocero (Da2),Castillos de Plástico,2022,Spain,"A young person playing on the beach, building something with plastic bottles and other trash materials. The background shows a clear blue sky and the sandy beach. The predominant colors are bright blues for the sky, sandy browns for the beach, and various shades of green, blue, and white for the materials. ","https://www.facebook.com/dados.cero/photos/pb.100057112073915.-2207520000./1986417391542929/?type=3
https://www.instagram.com/p/ChFEAZlIFom/ ",Dadospuntocero ,,,,,,,,,,,,,,,,,,,,,,,,,,2.80
059,Picture,Dadospuntocero (Da2),Sequia,2017,Spain,"A water faucet painted to look bit rusty, with a metallic gray color and some blue-green spots where the metal has oxidized. From the faucet, a single drop of water is falling to transform into a small green plant with leaves. The plant appears to be growing out of the water drop. The background of the painting is the plain, earthy wall of the building. Predominant colors are various shades of blue and green for the faucet and plant, with a beige background.",https://www.facebook.com/dados.cero/photos/pb.100057112073915.-2207520000./691273157724032/?type=3,Dadospuntocero ,,,,,,,,,,,,,,,,,,,,,,,,,,2.41
060,Picture,Mariana Duarte Santos,Senhor António,2019,Portugal,"A person in traditional clothing, accompanied by a donkey. Both the person and the donkey seem to be near a rustic building, possibly a stable or an old barn. The backdrop consists of stone walls, an old wooden door, and scattered hay on the ground. There is a sign ""Belmont"". Dominant colors include earthy tones such as browns and grays, with touches of blue in the person's shirt and yellow in their pants. ",https://marianaduartesantos.com/wp-content/uploads/2020/01/46d06f91-8fe9-45ff-a822-aadbf1ef9628.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,2.67
